sdss_name,sdss_ra,sdss_dec,sdss_z,sdss_source_z,sdss_zwarning,z_reliable_flag,FIRST,source_tier_first,Fpeak_first,Fint_first,Rms_first,NVSS,source_tier_nvss,S1.4_nvss,e_S1.4_nvss,GLEAM,source_tier_gleam,Fpwide_gleam,e_Fpwide_gleam,Fintwide_gleam,e_Fintwide_gleam,RACS-DR1,source_tier_racs,Fpk_racs,e_Fpk_racs,Ftot_racs,e_Ftot_racs,source_tier_flag
111026.46+002937.2,167.61025826492937,0.4936779622762455,3.811,VI,0,1,J111026.4+002937,1,1.8,1.64,0.149,111026+002944,1,8.3,1.5,,NA,,,,,J111026.7+002937,1,7.794,0.344,10.485,0.729,7.0
131557.27+002858.7,198.9886494247881,0.48298931220457597,3.207,VI,64,1,J131557.2+002858,1,1.86,1.48,0.152,,NA,,,,NA,,,,,J131557.2+002857,1,2.637,0.329,2.571,0.561,3.0
013249.38+002627.0,23.205761627746412,0.4408568885193819,3.181,VI,0,1,J013249.3+002626,1,3.45,3.29,0.096,013249+002626,1,3.1,0.4,,NA,,,,,,NA,,,,,5.0
222032.49+002537.4,335.1354154422051,0.4270816518958395,4.196,VI,0,1,J222032.6+002536,1,61.86,92.65,0.1,222032+002535,1,88.0,2.7,,NA,,,,,J222032.5+002536,1,140.959,0.397,149.746,0.716,7.0
021928.90+002441.9,34.87043851539892,0.4116435130246019,3.396,VI,0,1,J021928.8+002442,1,54.64,56.55,0.106,021928+002441,1,58.0,1.8,J021928+002446,1,0.309831,0.009723,0.311745,0.0112809,J021928.8+002442,1,88.534,0.606,92.389,1.081,15.0
092059.54+002435.5,140.24810346943394,0.40988299520521926,3.176,VI,0,1,J092059.5+002435,1,3.28,3.23,0.132,,NA,,,,NA,,,,,J092059.6+002435,1,1.967,0.358,2.635,0.761,3.0
220900.77+002357.6,332.2532462669034,0.3993516947499025,3.125,VI,0,1,J220900.7+002357,1,0.75,0.64,0.097,,NA,,,,NA,,,,,,NA,,,,,1.0
225828.17+002319.9,344.61739411444796,0.388873989364359,3.142,VI,0,1,J225828.2+002320,1,1.01,0.68,0.104,,NA,,,,NA,,,,,,NA,,,,,1.0
000221.12+002149.3,0.5880009309945535,0.36370401885745196,3.07,VI,0,1,J000221.1+002149,1,12.26,12.98,0.107,000221+002147,1,13.1,0.6,,NA,,,,,J000221.1+002149,1,12.854,0.613,14.666,1.16,7.0
214920.22+002141.8,327.3342880172291,0.3616385550461081,3.101,VI,0,1,J214920.2+002141,1,3.48,3.28,0.101,214920+002140,1,2.7,0.4,,NA,,,,,J214920.1+002141,1,5.299,0.307,6.069,0.584,7.0
025807.91+002126.7,44.532971122870265,0.3574387502427737,3.376,VI,0,1,J025807.9+002126,1,9.95,11.39,0.103,025807+002128,1,13.0,0.6,J025807+002133,1,0.043596,0.007944,0.049753,0.0119265,J025807.8+002126,1,17.972,0.382,18.411,0.672,15.0
210258.22+002023.4,315.742592,0.339851,3.344,DR6Q_HW,-1,1,J210258.2+002023,1,1.29,0.96,0.122,,NA,,,,NA,,,,,,NA,,,,,1.0
130348.94+002010.5,195.95391878856927,0.33625578337935147,3.635,VI,64,1,J130348.9+002010,1,1.11,0.97,0.152,,NA,,,,NA,,,,,,NA,,,,,1.0
024616.59+001953.6,41.56915946159529,0.3315721131008907,3.794,VI,0,1,J024616.6+001953,1,3.0,2.69,0.099,,NA,,,,NA,,,,,,NA,,,,,1.0
144814.40+001917.7,222.06000683578665,0.3216009813315625,3.194,VI,0,1,J144814.4+001917,1,2.77,2.99,0.199,,NA,,,,NA,,,,,,NA,,,,,1.0
084455.07+001848.4,131.2294790631299,0.3134716835391822,3.692,VI,0,1,J084455.0+001848,1,6.05,5.62,0.144,084455+001849,1,6.6,0.5,,NA,,,,,J084454.9+001848,1,8.874,0.307,9.017,0.537,7.0
223843.57+001647.9,339.6815535487141,0.27999166159679195,3.448,VI,0,1,J223843.5+001648,1,35.56,36.91,0.104,223843+001648,1,38.5,1.2,,NA,,,,,J223843.5+001648,1,45.308,0.309,45.927,0.541,7.0
005722.31+001644.6,14.34295969216258,0.2790773768644221,3.139,VI,0,1,J005722.3+001644,1,3.2,3.05,0.133,005721+001646,1,3.5,0.5,,NA,,,,,,NA,,,,,5.0
234907.26+001559.2,357.28025435133384,0.266467816960045,3.69,VI,0,1,J234907.2+001559,1,9.3,9.2,0.099,234907+001601,1,10.0,0.5,,NA,,,,,J234907.1+001600,1,6.907,0.293,9.428,0.862,7.0
211236.82+001520.8,318.1534451034821,0.25578949279471763,3.187,VI,0,1,J211236.8+001521,1,1.08,0.59,0.112,,NA,,,,NA,,,,,,NA,,,,,1.0
114351.35+001428.6,175.9639845573066,0.2412906819571111,3.21,VI,0,1,J114351.3+001428,1,7.31,7.53,0.141,114351+001427,1,7.6,0.5,,NA,,,,,J114351.3+001429,1,9.088,0.46,9.733,0.835,7.0
031452.06+001346.3,48.71695,0.229539,3.2,DR6Q_HW,-1,1,J031452.0+001346,1,8.41,8.51,0.108,031451+001343,1,8.0,0.5,,NA,,,,,J031452.0+001347,1,10.537,0.637,10.702,1.118,7.0
144948.95+001207.5,222.4539969859954,0.2021002514950643,6.269,PIPE,4,3,J144949.0+001207,1,1.99,1.58,0.168,,NA,,,,NA,,,,,J144949.0+001206,1,3.162,0.462,2.706,0.726,3.0
000051.56+001202.5,0.21485717371900037,0.20071627804363906,3.865,VI,4,1,J000051.5+001202,1,2.74,2.64,0.103,000051+001159,1,2.4,0.5,,NA,,,,,,NA,,,,,5.0
025905.63+001121.9,44.77347805631863,0.18942792896231705,3.373,VI,0,1,J025905.6+001122,1,1.75,1.78,0.101,025905+001123,1,2.4,0.5,,NA,,,,,,NA,,,,,5.0
110147.88+001039.4,165.44952836375555,0.17762067190867664,3.693,VI,0,1,J110147.8+001039,1,192.1,197.96,0.142,110147+001038,1,197.9,6.0,J110148+001039,1,0.847969,0.007798,0.819447,0.00866294,J110147.8+001039,1,283.367,0.599,290.651,1.055,15.0
084223.00+001001.7,130.59584675163632,0.1671475170986897,3.421,VI,0,1,J084223.0+001002,1,16.01,16.68,0.152,084222+001003,1,16.5,0.6,J084222+001003,1,0.062856,0.009989,0.054402,0.0107559,J084222.8+001002,1,23.957,0.282,25.612,0.512,15.0
133234.18+000921.6,203.14242807504402,0.156022076129385,3.657,VI,0,1,J133234.2+000921,1,2.18,1.49,0.151,,NA,,,,NA,,,,,J133234.2+000919,1,4.14,0.335,4.812,0.645,3.0
221011.57+000806.9,332.5482181809505,0.13527730879125607,3.124,PIPE,4,3,J221011.5+000806,1,9.61,9.78,0.099,221011+000807,1,10.5,0.5,,NA,,,,,J221011.5+000806,1,17.22,0.43,18.354,0.777,7.0
020750.06+000407.7,31.95860253804029,0.06881031857583775,3.01,VI,0,1,J020750.0+000408,1,1.12,2.06,0.104,,NA,,,,NA,,,,,,NA,,,,,1.0
133121.81+000248.4,202.84090827116734,0.04679241162240384,3.233,VI,0,1,J133121.8+000248,1,90.27,93.96,0.147,133121+000249,1,92.5,2.8,J133123+000230,3,0.064111,0.011217,0.076536,0.0177761,J133121.8+000247,1,109.413,0.309,113.243,0.548,7.0
102043.82+000105.8,155.18258345943835,0.018297175981372364,4.19,VI,0,1,J102043.7+000105,1,1.68,2.0,0.135,,NA,,,,NA,,,,,J102043.7+000109,1,2.091,0.301,2.755,0.637,3.0
000252.72-000330.9,0.7197008257211905,-0.05860670115075192,3.679,VI,0,1,J000252.7-000331,1,1.7,1.59,0.097,,NA,,,,NA,,,,,,NA,,,,,1.0
123503.04-000331.7,188.76267155376917,-0.058814328957619275,4.685,VI,0,1,J123503.0-000331,1,18.27,18.35,0.153,123503-000332,1,18.1,0.7,,NA,,,,,J123503.0-000331,1,17.409,1.017,18.109,1.809,7.0
095736.77-000426.8,149.4032291743436,-0.07411535316261281,3.867,VI,0,1,J095736.7-000427,1,14.38,15.68,0.149,095736-000427,1,14.9,0.6,,NA,,,,,J095736.6-000427,1,19.617,0.464,21.062,0.843,7.0
113822.65-000819.8,174.59439341808098,-0.13883636102180946,3.515,VI,0,1,J113822.6-000819,1,67.28,70.09,0.153,113822-000819,1,81.6,2.5,,NA,,,,,J113822.6-000818,1,54.196,0.386,55.147,0.677,7.0
023737.13-000905.6,39.404721943316474,-0.15157171405654646,5.13,PIPE,4,3,J023737.1-000905,1,6.27,6.63,0.094,023737-000904,1,5.5,0.5,,NA,,,,,J023737.0-000903,1,6.01,0.523,6.61,0.965,7.0
015339.61-001104.9,28.415048575985338,-0.18471288569499617,4.207,VI,0,1,J015339.6-001104,1,4.47,4.3,0.107,015339-001112,1,2.6,0.4,,NA,,,,,J015339.7-001107,1,3.807,0.572,4.912,1.183,7.0
113348.04-001122.0,173.45017158528776,-0.18945091456496208,3.61,VI,4,1,J113348.0-001121,1,8.51,10.56,0.192,113347-001119,1,10.2,0.5,,NA,,,,,J113348.0-001120,1,17.776,0.346,19.744,0.644,7.0
220137.50-001427.5,330.4062887206954,-0.24097916192112773,3.606,VI,0,1,J220137.4-001428,1,8.23,8.49,0.095,220137-001426,1,24.0,0.8,,NA,,,,,J220137.7-001426,1,30.369,0.431,33.679,0.801,7.0
024402.75-001533.3,41.011478542675775,-0.25926517745790545,3.583,VI,4,1,J024402.7-001533,1,1.71,1.23,0.192,,NA,,,,NA,,,,,,NA,,,,,1.0
013556.45-001632.4,23.98522576289689,-0.27568316877383753,3.006,VI,0,1,J013556.3-001631,1,1.02,0.93,0.104,,NA,,,,NA,,,,,,NA,,,,,1.0
105320.42-001649.7,163.33511770216052,-0.2804764019226543,4.298,VI,0,1,J105320.4-001649,1,13.31,13.82,0.158,105320-001651,1,9.3,0.5,,NA,,,,,J105320.4-001649,1,12.457,0.58,15.067,1.145,7.0
021043.16-001818.4,32.67986742520956,-0.3051351047242569,4.65,VI,0,1,J021043.1-001818,1,6.82,8.46,0.101,021042-001818,1,9.9,0.5,,NA,,,,,J021043.1-001817,1,12.181,0.823,13.198,1.505,7.0
093715.34-002106.7,144.31395171968865,-0.35187660502020873,3.111,VI,0,1,J093715.3-002107,1,4.19,4.05,0.148,093715-002108,1,4.6,0.4,,NA,,,,,J093715.2-002106,1,3.586,0.344,3.797,0.623,7.0
220615.63-002301.7,331.5651301609903,-0.3838074952675908,3.53,VI,0,1,J220615.6-002301,1,0.83,0.46,0.097,,NA,,,,NA,,,,,,NA,,,,,1.0
224145.71-002516.5,340.4404726457176,-0.4212515372452372,3.153,VI,0,1,J224145.7-002516,1,6.69,6.99,0.096,224145-002513,1,7.7,0.5,,NA,,,,,J224145.6-002516,1,4.867,0.445,5.654,0.853,7.0
225114.39-002555.6,342.8099869681521,-0.4321361676579508,3.81,VI,4,1,J225114.3-002556,1,2.63,2.03,0.096,225114-002550,1,2.2,0.4,,NA,,,,,J225114.4-002554,1,3.771,0.444,3.736,0.765,7.0
094913.63-002613.4,147.3068095892586,-0.43707786783461505,3.179,VI,0,1,J094913.6-002613,1,11.38,11.31,0.149,094913-002614,1,10.3,0.5,,NA,,,,,J094913.6-002613,1,11.76,0.737,11.629,1.267,7.0
232905.60-002707.5,352.27333702846323,-0.4520999990689095,3.543,PIPE,0,2,J232905.6-002707,1,1.93,1.78,0.125,,NA,,,,NA,,,,,J232905.6-002708,1,3.437,0.337,3.647,0.608,3.0
091329.74-003053.8,138.37394359377288,-0.5149460347001211,4.045,VI,0,1,J091329.7-003054,1,3.56,3.02,0.18,091330-003050,1,2.8,0.4,,NA,,,,,J091329.7-003053,1,4.81,0.293,4.571,0.49,7.0
234127.78-003349.7,355.3657511485834,-0.5638095359566689,3.065,VI,0,1,J234127.7-003348,1,0.96,1.27,0.125,,NA,,,,NA,,,,,J234127.7-003345,1,1.742,0.332,3.29,0.916,3.0
