sdss_name,ra,dec,sdss_z,sdss_source_z,FIRST,source_tier_first,NVSS_1,source_tier_nvss,GLEAM,source_tier_gleam,RACS-DR1,source_tier_racs,_RAJ2000,_DEJ2000,recno,NVSS_2,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,S1.4,e_S1.4,l_MajAxis,MajAxis,l_MinAxis,MinAxis,f_resFlux
105713.25-013913.7,164.30520848459344,-1.653830131,3.41,VI,J105713.2-013913,1,105713-013913,1,J105713-013916,1,J105713.1-013913,1,164.3050417,-1.6536111,809721,105713-013913,10 57 13.21,-01 39 13.0,0.05,0.9,21.3,0.8,<,24.6,<,19.2,
021928.90+002441.9,34.87043851539892,0.4116435130246019,3.396,VI,J021928.8+002442,1,021928+002441,1,J021928+002446,1,J021928.8+002442,1,34.8701667,0.4115556,171644,021928+002441,02 19 28.84,+00 24 41.6,0.03,0.6,58.0,1.8,<,19.2,<,16.4,
025807.91+002126.7,44.532971122870265,0.3574387502427737,3.376,VI,J025807.9+002126,1,025807+002128,1,J025807+002133,1,J025807.8+002126,1,44.5329583,0.3578611,219452,025807+002128,02 58 07.91,+00 21 28.3,0.08,1.2,13.0,0.6,<,23.7,<,21.4,
110805.84+103307.8,167.02436004568193,10.552193726871495,3.373,VI,J110805.8+103307,1,110805+103307,1,J110805+103318,1,J110805.8+103308,1,167.0241667,10.552,823112,110805+103307,11 08 05.80,+10 33 07.2,0.06,1.0,17.5,0.7,<,27.1,<,18.7,
021937.13-093540.4,34.90472502126164,-9.594569833,3.369,VI,J021937.1-093540,1,021937-093541,1,J021937-093535,1,J021937.0-093540,1,34.9042917,-9.5948611,171798,021937-093541,02 19 37.03,-09 35 41.5,0.06,1.0,18.0,0.7,<,21.1,<,18.7,
164208.61+184859.4,250.53591287698214,18.816519862487002,3.333,VI,J164208.6+184859,1,164208+184859,1,J164208+184853,1,J164208.5+184859,1,250.5360417,18.8164444,1231033,164208+184859,16 42 08.65,+18 48 59.2,0.03,0.6,150.6,4.5,<,15.6,<,15.2,
233446.40-090812.2,353.693338,-9.136733,3.329,DR6Q_HW,J233446.3-090812,1,233446-090811,1,J233446-090801,1,J233446.3-090811,1,353.6931667,-9.1365278,1742924,233446-090811,23 34 46.36,-09 08 11.5,0.05,0.8,26.9,0.9,<,23.5,<,18.6,
073458.89+250455.0,113.7454111997802,25.08196447013357,3.296,VI,J073458.9+250455,1,073458+250455,1,J073500+250521,1,J073458.8+250456,1,113.7454167,25.082,561379,073458+250455,07 34 58.90,+25 04 55.2,0.04,0.6,53.8,1.7,<,19.2,<,16.4,
152228.92+114313.2,230.62050512817464,11.720359036600335,3.296,VI,J152228.9+114313,1,152228+114313,1,J152229+114330,1,J152228.8+114311,1,230.6205417,11.7204722,1135378,152228+114313,15 22 28.93,+11 43 13.7,0.06,0.9,17.6,0.7,<,18.7,<,18.5,
021435.77+015703.0,33.64906174783346,1.9508433106636311,3.285,VI,J021435.7+015703,1,021435+015702,1,J021435+015657,1,J021435.7+015703,1,33.6490417,1.9506111,165416,021435+015702,02 14 35.77,+01 57 02.2,0.03,0.6,148.6,4.5,<,17.3,<,16.0,
125630.27+054439.2,194.12614022652545,5.744241359293636,3.274,VI,J125630.2+054439,1,125630+054439,1,J125630+054448,1,J125630.2+054439,1,194.12625,5.7442222,955985,125630+054439,12 56 30.30,+05 44 39.2,0.03,0.6,52.3,1.6,<,18.0,<,16.9,
081310.80+131629.3,123.29502852048007,13.274831097302817,3.266,VI,J081310.8+131629,1,081310+131629,1,J081311+131627,1,J081310.6+131629,1,123.295,13.2748611,608544,081310+131629,08 13 10.80,+13 16 29.5,0.03,0.6,75.7,2.3,<,17.4,<,15.8,
150021.42+144630.7,225.08927065119087,14.77521805444698,3.251,VI,J150021.4+144630,1,150021+144629,1,J150022+144622,1,J150021.4+144630,1,225.0893333,14.7748611,1108408,150021+144629,15 00 21.44,+14 46 29.5,0.04,0.6,42.2,1.3,<,18.0,<,15.0,
133121.81+000248.4,202.84090827116734,0.04679241162240384,3.233,VI,J133121.8+000248,1,133121+000249,1,J133123+000230,1,J133121.8+000247,1,202.8407917,0.0469722,999081,133121+000249,13 31 21.79,+00 02 49.1,0.03,0.6,92.5,2.8,<,16.7,<,15.9,
131049.64+162858.2,197.70684183321492,16.482856578423334,3.222,VI,J131049.6+162858,1,131049+162858,1,J131049+162854,1,J131049.6+162858,1,197.7065833,16.4829722,973798,131049+162858,13 10 49.58,+16 28 58.7,0.03,0.6,132.3,4.0,<,17.1,<,16.2,
085336.64+174347.8,133.40270636820907,17.729971706210375,3.219,VI,J085336.6+174348,1,085336+174348,1,J085336+174330,1,J085336.6+174348,1,133.40275,17.7301389,658210,085336+174348,08 53 36.66,+17 43 48.5,0.04,0.7,40.1,1.3,<,17.6,<,15.1,
104645.61+034936.0,161.69006140313286,3.826676110839202,3.216,VI,J104645.6+034935,1,104645+034936,1,J104645+034930,1,J104645.6+034935,1,161.6899583,3.8268333,796999,104645+034936,10 46 45.59,+03 49 36.6,0.03,0.6,101.7,3.1,<,17.8,<,14.7,
140501.12+041535.8,211.254673,4.259948,3.209,DR6Q_HW,J140501.1+041535,1,140501+041536,1,J140501+041534,1,J140501.0+041535,1,211.2545833,4.2600556,1040347,140501+041536,14 05 01.10,+04 15 36.2,0.03,0.6,933.0,28.0,<,16.8,<,14.9,
090052.38+135730.8,135.21828803380552,13.958563801279269,3.203,VI,J090052.3+135730,1,090052+135730,1,J090051+135728,1,J090052.3+135730,1,135.218375,13.9585278,667007,090052+135730,09 00 52.41,+13 57 30.7,0.04,0.7,37.1,1.5," ",16.6,<,15.4,
