sdss_name,ra,dec,sdss_z,sdss_source_z,FIRST_1,source_tier_first,NVSS,source_tier_nvss,GLEAM,source_tier_gleam,RACS-DR1,source_tier_racs,_RAJ2000,_DEJ2000,FIRST_2,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
161005.28+181143.4,242.52203709420598,18.195405794220623,3.122,VI,J161005.2+181143,1,161005+181143,1,J161005+181140,1,J161005.2+181144,1,242.52205833,18.19553333,J161005.2+181143,FITS,16 10 05.294,+18 11 43.92,0.014,180.19,215.33,0.141,3.32,1.04,134.8,3,s,0,1999.897,2451506.9,1.383
101644.31+203747.2,154.1846619632452,20.62980389045883,3.114,VI,J101644.3+203747,1,101644+203746,1,J101643+203806,1,J101644.2+203747,1,154.18469167,20.62982222,J101644.3+203747,FITS,10 16 44.326,+20 37 47.36,0.014,692.35,727.01,0.262,1.31,1.09,46.9,2,s,0,1998.76,2451091.9,3.814
103626.88+132651.7,159.11202618835338,13.44770778941094,3.101,VI,J103626.9+132651,1,103626+132654,1,J103626+132702,1,J103626.8+132653,1,159.1121,13.44769167,J103626.9+132651,FITS,10 36 26.904,+13 26 51.69,0.014,52.68,71.25,0.143,4.63,1.25,153.2,1,s,1,1999.973,2451534.7,1.581
224309.29-021903.0,340.7887488094033,-2.317527682,3.095,VI,J224309.3-021902,1,224309-021903,1,J224309-021855,1,J224309.2-021902,1,340.7888375,-2.31749167,J224309.3-021902,FITS,22 43 09.321,-02 19 02.97,0.014,59.56,61.87,0.142,1.38,0.84,128.4,4,s,1,1995.983,2450077.2,3.517
162324.71+154247.9,245.85297048566207,15.71332071470235,3.091,VI,J162324.7+154248,1,162324+154248,1,J162325+154227,1,J162324.6+154248,1,245.85295,15.71336667,J162324.7+154248,FITS,16 23 24.708,+15 42 48.12,0.014,96.72,104.03,0.147,1.65,1.3,79.1,3,s,0,1999.95,2451526.3,4.454
145805.99+085530.1,224.5249627642492,8.925034100211851,3.09,VI,J145805.9+085529,1,145805+085529,1,J145806+085529,1,J145805.9+085529,1,224.52489167,8.92496667,J145805.9+085529,FITS,14 58 05.974,+08 55 29.88,0.014,211.07,218.64,0.14,1.18,0.83,55.7,1,s,0,2000.062,2451567.1,0.558
005036.81+062522.3,12.653378504844643,6.422863695477311,3.067,VI,J005036.8+062522,1,005036+062521,1,J005036+062528,1,J005036.7+062522,1,12.65336667,6.42282222,J005036.8+062522,FITS,00 50 36.808,+06 25 22.16,0.014,30.27,31.55,0.09,1.66,0.63,153.7,1,s,0,2009.288,2454937.7,25.062
025355.98-011345.3,43.48326001877433,-1.229273359,3.066,VI,J025356.0-011345,1,025356-011348,1,J025356-011349,1,J025356.4-011348,1,43.48335833,-1.22921944,J025356.0-011345,FITS,02 53 56.006,-01 13 45.19,0.014,26.33,27.0,0.134,1.39,0.0,47.9,1,s,0,1995.883,2450040.7,0.444
112851.69+232617.3,172.21539515817912,23.438144616142672,3.042,VI,J112851.6+232617,1,112851+232616,1,J112851+232615,1,J112851.6+232617,1,172.21540417,23.43812222,J112851.6+232617,FITS,11 28 51.697,+23 26 17.24,0.014,150.88,156.62,0.141,1.14,0.96,77.5,1,s,0,1995.973,2450073.7,1.086
004112.33+073650.9,10.301398621517876,7.614149959968928,3.024,VI,J004112.3+073650,1,004112+073650,1,J004112+073656,1,J004112.2+073651,1,10.30135833,7.61411944,J004112.3+073650,FITS,00 41 12.326,+07 36 50.83,0.014,153.93,163.97,0.1,1.57,1.39,116.9,1,s,0,2009.338,2454955.8,12.042
023518.98-090317.0,38.82910450214864,-9.054727451,3.022,VI,J023518.9-090317,1,023518-090318,1,J023520-090333,1,J023518.9-090316,1,38.82910417,-9.05476111,J023518.9-090317,FITS,02 35 18.985,-09 03 17.14,0.014,48.52,49.45,0.156,1.22,0.26,169.4,1,s,0,1997.156,2450506.6,2.503
000420.93-094615.7,1.0872427960890008,-9.771050382,3.019,VI,J000420.9-094615,1,000420-094617,1,J000420-094609,1,J000420.9-094615,1,1.08725833,-9.77098889,J000420.9-094615,FITS,00 04 20.942,-09 46 15.56,0.014,21.88,23.07,0.14,1.83,0.86,19.3,2,s,0,1997.18,2450515.2,0.835
095252.86+164020.3,148.22028733404304,16.672319716935913,3.019,VI,J095252.8+164020,1,095252+164020,1,J095253+164009,1,J095252.8+164020,1,148.2203375,16.67226667,J095252.8+164020,FITS,09 52 52.881,+16 40 20.16,0.014,36.19,36.99,0.149,1.35,0.0,137.3,1,s,0,1999.837,2451485.1,3.224
101950.05-025602.4,154.95858169612785,-2.934003987,3.0,VI,J101950.0-025602,1,101950-025603,1,J101950-025605,1,J101950.0-025602,1,154.95857917,-2.93399444,J101950.0-025602,FITS,10 19 50.059,-02 56 02.38,0.014,23.66,24.85,0.148,1.72,0.28,92.0,1,s,0,1998.685,2451064.7,2.555
